科室列表	dataq/api/page/getSendDeptList
输入法自动完成-表头	dataq/api/header
输入法自动完成-列表数据	dataq/api/page
字典	api/outilsTree1
住院汇总清单综合查询-病人列表	dataq/api/page/getPatientList4InHospSummary
导航and权限控制	api/commonMenu
导航菜单	api/routerMenu
获取门诊票据序号	api/deposit/getPaperNo
作废项目	api/deposit/updateUnpaidItem
全部作废	api/deposit/updateAllUnpaidItem
获取担保信息	api/deposit/getAssureOrArrears
新增担保人	api/deposit/addAssureOrArrears
取消担保	api/deposit/cancleAssureOrArrears
担保欠费设置	api/deposit/saveAssureSetting
获取openId	user/openId
发送短信验证码	sms/code
登录接口	api/login
获取医生信息	api/userInfo
账户列表	v1.0/sysUser/getSysUserList
查询关联医生列表	v1.0/sysUser/getRelevanceDoctorList
关联医生	v1.0/sysUser/getRelevanceDoctorList
取消关联医生	v1.0/sysUser/cancelRelevanceDoctor
根据角色ID获取菜单列表	v1.0/sysRole/getSysRoleMenuListByRoleId
获取医生列表	v1.0/sysRole/getSysDoctorList
上传医生头像	v1.0/sysRole/uploadDoctorImg
修改医生信息	v1.0/sysRole/updateSysDoctor
结算发票信息列表	dataq/api/page/getSettBillListForMZBRFPZHCL
结算信息列表	dataq/api/page/getSettIinforListForMZBRFPZHCL
已收费医技单	dataq/api/page/patientCostCorrectionGetSFYJYWList
待审批的医技项目	dataq/api/page/patientCostCorrectionGetYJYW00List
已收费医技单-医技计价明细	dataq/api/page/patientCostCorrectionGetSFYJJJList
待审批的药品处方	dataq/api/page/patientCostCorrectionGetCXCFH0List
处方明细	dataq/api/page/patientCostCorrectionGetCXCFMXList
未结算的直接收费项目	dataq/api/page/patientCostCorrectionGetTFFYMXList
获取系统名称字典	dataq/api/dict
医保场景列表数据获取	dataq/api/page/getYbSceneList
医保接口字段查询	dataq/api/page/getYbSceneList
拦截器递归请求	api/recursionajax
表格列表表头数据	dataq/api/header/getApproveArrearageList
表格列表内容数据	dataq/api/page/getApproveArrearageList
获取用户信息	user/info
表格列表表头数据带操作	dataq/api/header/getApproveArrearageListAction
列表数据自定义行背景色	dataq/api/page/stripe
获取病历号	api/medicalCard/getBLH000
门诊病人费别修改	api/medicalCard/editPayType
补卡换卡挂失恢复 卡操作	api/medicalCard/doCardOperate
失效卡回收	api/medicalCard/recInvalidCard
院内作废卡（失效卡）回收	api/medicalCard/recHospInvalidCard
回收写卡	api/medicalCard/recWriteCard
院外卡登记入库	api/medicalCard/regOutHospCard
